model,class,precision,recall,f1,support
convnext_tiny,glioma,0.9933333333333333,0.9916805324459235,0.9925062447960034,601
convnext_tiny,meningioma,0.9881516587677726,0.9858156028368794,0.98698224852071,423
convnext_tiny,notumor,0.9951534733441034,0.9967637540453075,0.9959579628132579,618
convnext_tiny,pituitary,0.9936575052854123,0.9957627118644068,0.9947089947089947,472
efficientnet_b3,glioma,0.994991652754591,0.9916805324459235,0.9933333333333333,601
efficientnet_b3,meningioma,0.9882352941176471,0.9929078014184397,0.9905660377358491,423
efficientnet_b3,notumor,0.9983792544570502,0.9967637540453075,0.9975708502024292,618
efficientnet_b3,pituitary,0.9957716701902748,0.9978813559322034,0.9968253968253968,472
resnet50,glioma,0.9916805324459235,0.9916805324459235,0.9916805324459235,601
resnet50,meningioma,0.9881516587677726,0.9858156028368794,0.98698224852071,423
resnet50,notumor,1.0,0.9967637540453075,0.9983792544570502,618
resnet50,pituitary,0.991578947368421,0.9978813559322034,0.9947201689545935,472
